Date,Price,Open,High,Low,Vol.,Change %
1/3/2022,334.75,335.35,338,329.78,28.92M,-0.47%
1/4/2022,329.01,334.83,335.2,326.12,32.67M,-1.71%
1/5/2022,316.38,325.86,326.07,315.98,40.05M,-3.84%
1/6/2022,313.88,313.15,318.7,311.49,39.65M,-0.79%
1/7/2022,314.04,314.15,316.5,310.09,32.72M,0.05%
1/10/2022,314.27,309.49,314.72,304.69,44.29M,0.07%
1/11/2022,314.98,313.38,316.61,309.89,29.39M,0.23%
1/12/2022,318.27,319.67,323.41,317.08,34.37M,1.04%
1/13/2022,304.8,320.47,320.88,304,45.37M,-4.23%
1/14/2022,310.2,304.25,310.82,303.75,39.85M,1.77%
1/18/2022,302.65,304.07,309.8,301.74,42.43M,-2.43%
1/19/2022,303.33,306.29,313.91,302.7,45.93M,0.22%
1/20/2022,301.6,309.07,311.65,301.14,35.38M,-0.57%
1/21/2022,296.03,302.69,304.11,295.61,57.98M,-1.85%
1/24/2022,296.37,292.2,297.11,276.05,86.04M,0.11%
1/25/2022,288.49,291.52,294.99,285.17,72.85M,-2.66%
1/26/2022,296.71,307.99,308.5,293.03,90.43M,2.85%
1/27/2022,299.84,302.66,307.3,297.93,53.48M,1.05%
1/28/2022,308.26,300.23,308.48,294.45,49.74M,2.81%
1/31/2022,310.98,308.95,312.38,306.37,46.44M,0.88%
2/1/2022,308.76,310.41,310.63,305.13,40.95M,-0.71%
2/2/2022,313.46,309.63,315.12,308.88,36.64M,1.52%
2/3/2022,301.25,309.49,311.23,299.96,43.73M,-3.90%
2/4/2022,305.94,300.21,308.8,299.97,35.10M,1.56%
2/7/2022,300.95,306.17,307.84,299.9,28.53M,-1.63%
2/8/2022,304.56,301.25,305.56,299.95,32.42M,1.20%
2/9/2022,311.21,309.87,311.93,307.39,31.28M,2.18%
2/10/2022,302.38,304.04,309.12,300.7,45.39M,-2.84%
2/11/2022,295.04,303.19,304.29,294.22,39.18M,-2.43%
2/14/2022,295,293.77,296.76,291.35,36.36M,-0.01%
2/15/2022,300.47,300.01,300.8,297.02,27.38M,1.85%
