Date,Price,Open,High,Low,Vol.,Change %
1/3/2022,399.93,382.58,400.36,378.68,104.69M,13.53%
1/4/2022,383.2,396.52,402.67,374.35,100.25M,-4.18%
1/5/2022,362.71,382.22,390.11,360.34,80.12M,-5.35%
1/6/2022,354.9,359,362.67,340.17,90.34M,-2.15%
1/7/2022,342.32,360.12,360.31,336.67,84.16M,-3.54%
1/10/2022,352.71,333.33,353.03,326.67,91.81M,3.04%
1/11/2022,354.8,351.22,358.62,346.27,66.06M,0.59%
1/12/2022,368.74,359.62,371.61,357.53,83.74M,3.93%
1/13/2022,343.85,369.69,371.87,342.18,97.21M,-6.75%
1/14/2022,349.87,339.96,350.67,337.79,72.92M,1.75%
1/18/2022,343.5,342.2,356.93,338.69,66.99M,-1.82%
1/19/2022,331.88,347.23,351.56,331.67,75.44M,-3.38%
1/20/2022,332.09,336.58,347.22,331.33,70.49M,0.06%
1/21/2022,314.63,332.11,334.85,313.5,103.42M,-5.26%
1/24/2022,310,301.59,311.17,283.82,152.38M,-1.47%
1/25/2022,306.13,304.73,317.09,301.07,86.60M,-1.25%
1/26/2022,312.47,317.48,329.23,302,104.87M,2.07%
1/27/2022,276.37,311.12,311.8,276.33,147.11M,-11.55%
1/28/2022,282.12,277.19,285.83,264,134.79M,2.08%
1/31/2022,312.24,290.9,312.66,287.35,104.44M,10.68%
2/1/2022,310.42,311.74,314.57,301.67,73.14M,-0.58%
2/2/2022,301.89,309.39,310.5,296.47,66.79M,-2.75%
2/3/2022,297.05,294,312.33,293.51,78.86M,-1.60%
2/4/2022,307.77,299.07,312.17,293.72,73.63M,3.61%
2/7/2022,302.45,307.93,315.92,300.9,60.99M,-1.73%
2/8/2022,307.33,301.84,308.76,298.27,50.73M,1.61%
2/9/2022,310.67,311.67,315.42,306.67,52.26M,1.09%
2/10/2022,301.52,302.79,314.6,298.9,66.13M,-2.95%
2/11/2022,286.67,303.21,305.32,283.57,79.65M,-4.93%
2/14/2022,291.92,287.19,299.63,284.38,67.76M,1.83%
2/15/2022,307.48,300,307.67,297.79,57.65M,5.33%
2/16/2022,307.8,304.68,308.81,300.4,51.29M,0.10%
2/17/2022,292.12,304.42,306.17,291.37,55.18M,-5.09%
2/18/2022,285.66,295.33,295.62,279.2,68.50M,-2.21%
2/22/2022,273.84,278.04,285.58,267.03,83.29M,-4.14%
2/23/2022,254.68,276.81,278.43,253.52,95.26M,-7.00%
2/24/2022,266.92,233.46,267.49,233.33,135.32M,4.81%
2/25/2022,269.96,269.74,273.17,260.8,76.07M,1.14%
2/28/2022,290.14,271.67,292.29,271.57,99.01M,7.48%
3/1/2022,288.12,289.89,296.63,284.59,74.77M,-0.70%
3/2/2022,293.3,290.71,295.49,281.42,74.64M,1.80%
3/3/2022,279.76,292.92,295.48,277.53,61.62M,-4.62%
3/4/2022,279.43,283.03,285.22,275.05,67.18M,-0.12%
3/7/2022,268.19,285.43,288.71,268.19,72.49M,-4.02%
3/8/2022,274.8,265.18,283.33,260.72,80.40M,2.46%
3/9/2022,286.32,279.83,286.85,277.34,59.18M,4.19%
3/10/2022,279.43,283.82,284.82,270.12,58.65M,-2.41%
3/11/2022,265.12,280.07,281.27,264.59,67.04M,-5.12%
3/14/2022,255.46,260.2,266.9,252.01,71.15M,-3.64%
3/15/2022,267.3,258.42,268.52,252.19,66.84M,4.63%
3/16/2022,280.08,269.67,280.67,267.42,84.03M,4.78%
3/17/2022,290.53,277,291.67,275.24,66.58M,3.73%
3/18/2022,301.8,291.5,302.62,289.13,100.41M,3.88%
3/21/2022,307.05,304.99,314.28,302.36,81.98M,1.74%
3/22/2022,331.33,310,332.62,307.25,105.87M,7.91%
3/23/2022,333.04,326.65,346.9,325.47,120.68M,0.52%
3/24/2022,337.97,336.58,341.5,329.6,68.92M,1.48%
3/25/2022,336.88,336,340.6,332.44,62.03M,-0.32%
3/28/2022,363.95,355.03,365.96,351.2,102.51M,8.04%
3/29/2022,366.52,369.33,371.59,357.7,73.61M,0.71%
3/30/2022,364.66,363.72,371.32,361.33,59.87M,-0.51%
3/31/2022,359.2,364.86,367.71,358.88,48.99M,-1.50%
4/1/2022,361.53,360.38,364.92,355.55,54.26M,0.65%
4/4/2022,381.82,363.13,383.3,357.51,82.18M,5.61%
4/5/2022,363.75,378.77,384.29,362.43,80.08M,-4.73%
4/6/2022,348.59,357.82,359.67,342.57,89.35M,-4.17%
4/7/2022,352.42,350.8,358.86,340.51,79.45M,1.10%
4/8/2022,341.83,347.74,349.48,340.81,55.01M,-3.00%
4/11/2022,325.31,326.8,336.16,324.88,59.36M,-4.83%
4/12/2022,328.98,332.55,340.4,325.53,65.98M,1.13%
4/13/2022,340.79,327.02,342.08,324.37,55.12M,3.59%
4/14/2022,328.33,333.1,337.57,327.4,58.42M,-3.66%
4/18/2022,334.76,329.68,338.31,324.47,51.72M,1.96%
4/19/2022,342.72,335.02,344.98,331.77,49.85M,2.38%
4/20/2022,325.73,343.33,344.67,325.08,70.71M,-4.96%
4/21/2022,336.26,358.24,364.07,332.14,105.42M,3.23%
4/22/2022,335.02,338.3,344.95,331.33,69.70M,-0.37%
4/25/2022,332.67,326.32,336.21,325.1,68.34M,-0.70%
4/26/2022,292.14,331.81,333.33,291.67,136.13M,-12.18%
4/27/2022,293.84,299.53,306,292.45,76.96M,0.58%
4/28/2022,292.5,299.99,300,273.9,124.95M,-0.45%
4/29/2022,290.25,300.75,311.47,290,88.13M,-0.77%
5/2/2022,300.98,286.92,302.12,282.68,75.78M,3.70%
5/3/2022,303.08,301.06,308.03,296.2,63.71M,0.70%
5/4/2022,317.54,301.31,318.5,295.09,81.64M,4.77%
5/5/2022,291.09,313.07,315.2,285.9,92.52M,-8.33%
5/6/2022,288.55,295.67,296,281.03,72.90M,-0.87%
5/9/2022,262.37,278.82,281.88,260.38,90.81M,-9.07%
5/10/2022,266.68,273.1,275.12,258.08,84.40M,1.64%
5/11/2022,244.67,265,269.92,242.4,97.23M,-8.25%
5/12/2022,242.67,233.67,253.22,226.67,140.31M,-0.82%
5/13/2022,256.53,257.83,262.45,250.52,92.15M,5.71%
5/16/2022,241.46,255.72,256.59,239.7,86.10M,-5.88%
5/17/2022,253.87,249.12,254.83,242.95,80.24M,5.14%
5/18/2022,236.6,248.17,253.5,233.6,87.81M,-6.80%
5/19/2022,236.47,235.67,244.67,231.37,90.30M,-0.05%
5/20/2022,221.3,238,240.53,211,144.97M,-6.42%
5/23/2022,224.97,218.34,226.65,212.69,88.90M,1.66%
5/24/2022,209.39,217.84,217.97,206.86,89.09M,-6.93%
5/25/2022,219.6,207.95,223.11,207.67,92.14M,4.88%
5/26/2022,235.91,220.47,239.56,217.89,106.00M,7.43%
5/27/2022,253.21,241.08,253.27,240.18,89.30M,7.33%
5/31/2022,252.75,257.95,259.6,244.74,101.91M,-0.18%
6/1/2022,246.79,251.72,257.33,243.64,77.25M,-2.36%
6/2/2022,258.33,244.16,264.21,242.07,93.47M,4.68%
6/3/2022,234.52,243.22,247.8,233.42,112.39M,-9.22%
6/6/2022,238.28,244.35,244.87,234.35,84.21M,1.60%
6/7/2022,238.89,234,240,230.09,72.81M,0.25%
6/8/2022,241.87,240.09,249.96,239.18,76.21M,1.25%
6/9/2022,239.71,249.34,255.55,239.33,96.49M,-0.89%
6/10/2022,232.23,235.16,239.5,227.91,98.09M,-3.12%
6/13/2022,215.74,223.17,226.63,214.68,102.77M,-7.10%
6/14/2022,220.89,218.29,226.33,211.74,97.99M,2.39%
6/15/2022,233,220.92,235.66,218.15,119.13M,5.48%
6/16/2022,213.1,222.74,225.17,208.69,107.39M,-8.54%
6/17/2022,216.76,213.43,220.97,213.2,92.64M,1.72%
6/21/2022,237.04,224.6,243.58,224.33,122.79M,9.35%
6/22/2022,236.09,234.5,246.83,233.83,101.53M,-0.40%
6/23/2022,235.07,237.9,239.32,228.64,104.20M,-0.43%
6/24/2022,245.71,237.47,246.07,236.09,95.77M,4.52%
6/27/2022,244.92,249.37,252.07,242.57,89.18M,-0.32%
6/28/2022,232.66,244.48,249.97,232.34,90.67M,-5.00%
6/29/2022,228.49,230.5,231.17,222.27,82.90M,-1.79%
6/30/2022,224.47,224.51,229.46,218.86,94.60M,-1.76%
7/1/2022,227.26,227,230.23,222.12,74.46M,1.24%
7/5/2022,233.07,223,233.15,216.17,84.78M,2.55%
7/6/2022,231.73,230.78,234.56,227.19,71.85M,-0.57%
7/7/2022,244.54,233.92,245.36,232.21,81.93M,5.53%
7/8/2022,250.76,242.33,254.98,241.16,101.85M,2.54%
7/11/2022,234.34,252.1,253.06,233.63,99.51M,-6.55%
7/12/2022,233.07,236.85,239.77,228.37,87.93M,-0.54%
7/13/2022,237.04,225.5,242.06,225.03,97.96M,1.70%
7/14/2022,238.31,234.9,238.65,229.33,78.56M,0.54%
7/15/2022,240.07,240,243.62,236.89,69.68M,0.74%
7/18/2022,240.55,244.94,250.52,239.6,82.54M,0.20%
7/19/2022,245.53,245,247.14,236.98,80.89M,2.07%
7/20/2022,247.5,246.78,250.66,243.48,88.86M,0.80%
7/21/2022,271.71,255.11,273.27,254.87,142.03M,9.78%
7/22/2022,272.24,276.22,280.79,270.71,103.47M,0.20%
7/25/2022,268.43,272.22,274.15,267.4,64.07M,-1.40%
7/26/2022,258.86,266.51,267.31,256.26,66.82M,-3.57%
7/27/2022,274.82,263.81,275.93,261.79,88.11M,6.17%
7/28/2022,280.9,280.07,283.3,272.8,84.72M,2.21%
7/29/2022,297.15,280.7,298.32,279.1,95.31M,5.78%
8/1/2022,297.28,301.27,311.88,295,117.04M,0.04%
8/2/2022,300.59,294,307.83,292.67,95.58M,1.11%
8/3/2022,307.4,305,309.55,301.15,80.09M,2.27%
8/4/2022,308.63,311,313.61,305,72.26M,0.40%
8/5/2022,288.17,302.67,304.61,285.54,113.17M,-6.63%
8/8/2022,290.42,295,305.2,289.09,99.37M,0.78%
8/9/2022,283.33,290.29,292.4,279.35,86.25M,-2.44%
8/10/2022,294.36,297.07,297.51,283.37,94.92M,3.89%
8/11/2022,286.63,296.51,298.24,285.83,70.16M,-2.62%
8/12/2022,300.03,289.41,300.16,285.03,79.66M,4.68%
8/15/2022,309.32,301.79,313.13,301.23,89.36M,3.10%
8/16/2022,306.56,311.67,314.67,302.88,88.14M,-0.89%
8/17/2022,304,303.4,309.66,300.03,68.77M,-0.84%
8/18/2022,302.87,306,306.5,301.85,47.50M,-0.37%
8/19/2022,296.67,299,300.36,292.5,61.40M,-2.05%
8/22/2022,289.91,291.91,292.4,286.3,55.84M,-2.28%
8/23/2022,296.45,291.45,298.83,287.92,63.99M,2.26%
8/24/2022,297.1,297.56,303.65,296.5,57.26M,0.22%
8/25/2022,296.07,302.36,302.96,291.6,53.23M,-0.35%
8/26/2022,288.09,297.43,302,287.47,57.16M,-2.70%
8/29/2022,284.82,282.83,287.74,280.7,41.87M,-1.14%
8/30/2022,277.7,287.86,288.48,272.65,50.54M,-2.50%
8/31/2022,275.61,280.62,281.25,271.81,52.11M,-0.75%
9/1/2022,277.16,272.58,277.58,266.15,54.29M,0.56%
9/2/2022,270.21,281.07,282.35,269.08,50.89M,-2.51%
9/6/2022,274.42,272.67,275.99,265.74,55.86M,1.56%
9/7/2022,283.7,273.1,283.84,272.27,50.03M,3.38%
9/8/2022,289.26,281.3,289.5,279.76,53.71M,1.96%
9/9/2022,299.68,291.67,299.85,291.24,54.47M,3.60%
9/12/2022,304.42,300.72,305.49,300.4,48.68M,1.58%
9/13/2022,292.13,292.9,297.4,290.4,68.23M,-4.04%
9/14/2022,302.61,292.24,306,291.64,72.63M,3.59%
9/15/2022,303.75,301.83,309.12,300.72,64.80M,0.38%
9/16/2022,303.35,299.61,303.71,295.6,87.09M,-0.13%
9/19/2022,309.07,300.09,309.84,297.8,60.23M,1.89%
